index,mid,display_name
0.0,/m/09x0r,Speech
1.0,/m/0ytgt,"Child speech, kid speaking"
2.0,/m/01h8n0,Conversation
3.0,/m/02qldy,"Narration, monologue"
4.0,/m/0261r1,Babbling
5.0,/m/0brhx,Speech synthesizer
6.0,/m/07p6fty,Shout
7.0,/m/07q4ntr,Bellow
8.0,/m/07rwj3x,Whoop
9.0,/m/07sr1lc,Yell
10.0,/t/dd00135,Children shouting
11.0,/m/03qc9zr,Screaming
12.0,/m/02rtxlg,Whispering
13.0,/m/01j3sz,Laughter
14.0,/t/dd00001,Baby laughter
15.0,/m/07r660_,Giggle
16.0,/m/07s04w4,Snicker
17.0,/m/07sq110,Belly laugh
18.0,/m/07rgt08,"Chuckle, chortle"
19.0,/m/0463cq4,"Crying, sobbing"
20.0,/t/dd00002,"Baby cry, infant cry"
21.0,/m/07qz6j3,Whimper
22.0,/m/07qw_06,"Wail, moan"
23.0,/m/07plz5l,Sigh
24.0,/m/015lz1,Singing
25.0,/m/0l14jd,Choir
26.0,/m/01swy6,Yodeling
27.0,/m/02bk07,Chant
28.0,/m/01c194,Mantra
29.0,/t/dd00005,Child singing
30.0,/t/dd00006,Synthetic singing
31.0,/m/06bxc,Rapping
32.0,/m/02fxyj,Humming
33.0,/m/07s2xch,Groan
34.0,/m/07r4k75,Grunt
35.0,/m/01w250,Whistling
36.0,/m/0lyf6,Breathing
37.0,/m/07mzm6,Wheeze
38.0,/m/01d3sd,Snoring
39.0,/m/07s0dtb,Gasp
40.0,/m/07pyy8b,Pant
41.0,/m/07q0yl5,Snort
42.0,/m/01b_21,Cough
43.0,/m/0dl9sf8,Throat clearing
44.0,/m/01hsr_,Sneeze
45.0,/m/07ppn3j,Sniff
46.0,/m/06h7j,Run
47.0,/m/07qv_x_,Shuffle
48.0,/m/07pbtc8,"Walk, footsteps"
49.0,/m/03cczk,"Chewing, mastication"
50.0,/m/07pdhp0,Biting
51.0,/m/0939n_,Gargling
52.0,/m/01g90h,Stomach rumble
53.0,/m/03q5_w,"Burping, eructation"
54.0,/m/02p3nc,Hiccup
55.0,/m/02_nn,Fart
56.0,/m/0k65p,Hands
57.0,/m/025_jnm,Finger snapping
58.0,/m/0l15bq,Clapping
59.0,/m/01jg02,"Heart sounds, heartbeat"
60.0,/m/01jg1z,Heart murmur
61.0,/m/053hz1,Cheering
62.0,/m/028ght,Applause
63.0,/m/07rkbfh,Chatter
64.0,/m/03qtwd,Crowd
65.0,/m/07qfr4h,"Hubbub, speech noise, speech babble"
66.0,/t/dd00013,Children playing
67.0,/m/0jbk,Animal
68.0,/m/068hy,"Domestic animals, pets"
69.0,/m/0bt9lr,Dog
70.0,/m/05tny_,Bark
71.0,/m/07r_k2n,Yip
72.0,/m/07qf0zm,Howl
73.0,/m/07rc7d9,Bow-wow
74.0,/m/0ghcn6,Growling
75.0,/t/dd00136,Whimper (dog)
76.0,/m/01yrx,Cat
77.0,/m/02yds9,Purr
78.0,/m/07qrkrw,Meow
79.0,/m/07rjwbb,Hiss
80.0,/m/07r81j2,Caterwaul
81.0,/m/0ch8v,"Livestock, farm animals, working animals"
82.0,/m/03k3r,Horse
83.0,/m/07rv9rh,Clip-clop
84.0,/m/07q5rw0,"Neigh, whinny"
85.0,/m/01xq0k1,"Cattle, bovinae"
86.0,/m/07rpkh9,Moo
87.0,/m/0239kh,Cowbell
88.0,/m/068zj,Pig
89.0,/t/dd00018,Oink
90.0,/m/03fwl,Goat
91.0,/m/07q0h5t,Bleat
92.0,/m/07bgp,Sheep
93.0,/m/025rv6n,Fowl
94.0,/m/09b5t,"Chicken, rooster"
95.0,/m/07st89h,Cluck
96.0,/m/07qn5dc,"Crowing, cock-a-doodle-doo"
97.0,/m/01rd7k,Turkey
98.0,/m/07svc2k,Gobble
99.0,/m/09ddx,Duck
100.0,/m/07qdb04,Quack
101.0,/m/0dbvp,Goose
102.0,/m/07qwf61,Honk
103.0,/m/01280g,Wild animals
104.0,/m/0cdnk,"Roaring cats (lions, tigers)"
105.0,/m/04cvmfc,Roar
106.0,/m/015p6,Bird
107.0,/m/020bb7,"Bird vocalization, bird call, bird song"
108.0,/m/07pggtn,"Chirp, tweet"
109.0,/m/07sx8x_,Squawk
110.0,/m/0h0rv,"Pigeon, dove"
111.0,/m/07r_25d,Coo
112.0,/m/04s8yn,Crow
113.0,/m/07r5c2p,Caw
114.0,/m/09d5_,Owl
115.0,/m/07r_80w,Hoot
116.0,/m/05_wcq,"Bird flight, flapping wings"
117.0,/m/01z5f,"Canidae, dogs, wolves"
118.0,/m/06hps,"Rodents, rats, mice"
119.0,/m/04rmv,Mouse
120.0,/m/07r4gkf,Patter
121.0,/m/03vt0,Insect
122.0,/m/09xqv,Cricket
123.0,/m/09f96,Mosquito
124.0,/m/0h2mp,"Fly, housefly"
125.0,/m/07pjwq1,Buzz
126.0,/m/01h3n,"Bee, wasp, etc."
127.0,/m/09ld4,Frog
128.0,/m/07st88b,Croak
129.0,/m/078jl,Snake
130.0,/m/07qn4z3,Rattle
131.0,/m/032n05,Whale vocalization
132.0,/m/04rlf,Music
133.0,/m/04szw,Musical instrument
134.0,/m/0fx80y,Plucked string instrument
135.0,/m/0342h,Guitar
136.0,/m/02sgy,Electric guitar
137.0,/m/018vs,Bass guitar
138.0,/m/042v_gx,Acoustic guitar
139.0,/m/06w87,"Steel guitar, slide guitar"
140.0,/m/01glhc,Tapping (guitar technique)
141.0,/m/07s0s5r,Strum
142.0,/m/018j2,Banjo
143.0,/m/0jtg0,Sitar
144.0,/m/04rzd,Mandolin
145.0,/m/01bns_,Zither
146.0,/m/07xzm,Ukulele
147.0,/m/05148p4,Keyboard (musical)
148.0,/m/05r5c,Piano
149.0,/m/01s0ps,Electric piano
150.0,/m/013y1f,Organ
151.0,/m/03xq_f,Electronic organ
152.0,/m/03gvt,Hammond organ
153.0,/m/0l14qv,Synthesizer
154.0,/m/01v1d8,Sampler
155.0,/m/03q5t,Harpsichord
156.0,/m/0l14md,Percussion
157.0,/m/02hnl,Drum kit
158.0,/m/0cfdd,Drum machine
159.0,/m/026t6,Drum
160.0,/m/06rvn,Snare drum
161.0,/m/03t3fj,Rimshot
162.0,/m/02k_mr,Drum roll
163.0,/m/0bm02,Bass drum
164.0,/m/011k_j,Timpani
165.0,/m/01p970,Tabla
166.0,/m/01qbl,Cymbal
167.0,/m/03qtq,Hi-hat
168.0,/m/01sm1g,Wood block
169.0,/m/07brj,Tambourine
170.0,/m/05r5wn,Rattle (instrument)
171.0,/m/0xzly,Maraca
172.0,/m/0mbct,Gong
173.0,/m/016622,Tubular bells
174.0,/m/0j45pbj,Mallet percussion
175.0,/m/0dwsp,"Marimba, xylophone"
176.0,/m/0dwtp,Glockenspiel
177.0,/m/0dwt5,Vibraphone
178.0,/m/0l156b,Steelpan
179.0,/m/05pd6,Orchestra
180.0,/m/01kcd,Brass instrument
181.0,/m/0319l,French horn
182.0,/m/07gql,Trumpet
183.0,/m/07c6l,Trombone
184.0,/m/0l14_3,Bowed string instrument
185.0,/m/02qmj0d,String section
186.0,/m/07y_7,"Violin, fiddle"
187.0,/m/0d8_n,Pizzicato
188.0,/m/01xqw,Cello
189.0,/m/02fsn,Double bass
190.0,/m/085jw,"Wind instrument, woodwind instrument"
191.0,/m/0l14j_,Flute
192.0,/m/06ncr,Saxophone
193.0,/m/01wy6,Clarinet
194.0,/m/03m5k,Harp
195.0,/m/0395lw,Bell
196.0,/m/03w41f,Church bell
197.0,/m/027m70_,Jingle bell
198.0,/m/0gy1t2s,Bicycle bell
199.0,/m/07n_g,Tuning fork
200.0,/m/0f8s22,Chime
201.0,/m/026fgl,Wind chime
202.0,/m/0150b9,Change ringing (campanology)
203.0,/m/03qjg,Harmonica
204.0,/m/0mkg,Accordion
205.0,/m/0192l,Bagpipes
206.0,/m/02bxd,Didgeridoo
207.0,/m/0l14l2,Shofar
208.0,/m/07kc_,Theremin
209.0,/m/0l14t7,Singing bowl
210.0,/m/01hgjl,Scratching (performance technique)
211.0,/m/064t9,Pop music
212.0,/m/0glt670,Hip hop music
213.0,/m/02cz_7,Beatboxing
214.0,/m/06by7,Rock music
215.0,/m/03lty,Heavy metal
216.0,/m/05r6t,Punk rock
217.0,/m/0dls3,Grunge
218.0,/m/0dl5d,Progressive rock
219.0,/m/07sbbz2,Rock and roll
220.0,/m/05w3f,Psychedelic rock
221.0,/m/06j6l,Rhythm and blues
222.0,/m/0gywn,Soul music
223.0,/m/06cqb,Reggae
224.0,/m/01lyv,Country
225.0,/m/015y_n,Swing music
226.0,/m/0gg8l,Bluegrass
227.0,/m/02x8m,Funk
228.0,/m/02w4v,Folk music
229.0,/m/06j64v,Middle Eastern music
230.0,/m/03_d0,Jazz
231.0,/m/026z9,Disco
232.0,/m/0ggq0m,Classical music
233.0,/m/05lls,Opera
234.0,/m/02lkt,Electronic music
235.0,/m/03mb9,House music
236.0,/m/07gxw,Techno
237.0,/m/07s72n,Dubstep
238.0,/m/0283d,Drum and bass
239.0,/m/0m0jc,Electronica
240.0,/m/08cyft,Electronic dance music
241.0,/m/0fd3y,Ambient music
242.0,/m/07lnk,Trance music
243.0,/m/0g293,Music of Latin America
244.0,/m/0ln16,Salsa music
245.0,/m/0326g,Flamenco
246.0,/m/0155w,Blues
247.0,/m/05fw6t,Music for children
248.0,/m/02v2lh,New-age music
249.0,/m/0y4f8,Vocal music
250.0,/m/0z9c,A capella
251.0,/m/0164x2,Music of Africa
252.0,/m/0145m,Afrobeat
253.0,/m/02mscn,Christian music
254.0,/m/016cjb,Gospel music
255.0,/m/028sqc,Music of Asia
256.0,/m/015vgc,Carnatic music
257.0,/m/0dq0md,Music of Bollywood
258.0,/m/06rqw,Ska
259.0,/m/02p0sh1,Traditional music
260.0,/m/05rwpb,Independent music
261.0,/m/074ft,Song
262.0,/m/025td0t,Background music
263.0,/m/02cjck,Theme music
264.0,/m/03r5q_,Jingle (music)
265.0,/m/0l14gg,Soundtrack music
266.0,/m/07pkxdp,Lullaby
267.0,/m/01z7dr,Video game music
268.0,/m/0140xf,Christmas music
269.0,/m/0ggx5q,Dance music
270.0,/m/04wptg,Wedding music
271.0,/t/dd00031,Happy music
272.0,/t/dd00033,Sad music
273.0,/t/dd00034,Tender music
274.0,/t/dd00035,Exciting music
275.0,/t/dd00036,Angry music
276.0,/t/dd00037,Scary music
277.0,/m/03m9d0z,Wind
278.0,/m/09t49,Rustling leaves
279.0,/t/dd00092,Wind noise (microphone)
280.0,/m/0jb2l,Thunderstorm
281.0,/m/0ngt1,Thunder
282.0,/m/0838f,Water
283.0,/m/06mb1,Rain
284.0,/m/07r10fb,Raindrop
285.0,/t/dd00038,Rain on surface
286.0,/m/0j6m2,Stream
287.0,/m/0j2kx,Waterfall
288.0,/m/05kq4,Ocean
289.0,/m/034srq,"Waves, surf"
290.0,/m/06wzb,Steam
291.0,/m/07swgks,Gurgling
292.0,/m/02_41,Fire
293.0,/m/07pzfmf,Crackle
294.0,/m/07yv9,Vehicle
295.0,/m/019jd,"Boat, Water vehicle"
296.0,/m/0hsrw,"Sailboat, sailing ship"
297.0,/m/056ks2,"Rowboat, canoe, kayak"
298.0,/m/02rlv9,"Motorboat, speedboat"
299.0,/m/06q74,Ship
300.0,/m/012f08,Motor vehicle (road)
301.0,/m/0k4j,Car
302.0,/m/0912c9,"Vehicle horn, car horn, honking"
303.0,/m/07qv_d5,Toot
304.0,/m/02mfyn,Car alarm
305.0,/m/04gxbd,"Power windows, electric windows"
306.0,/m/07rknqz,Skidding
307.0,/m/0h9mv,Tire squeal
308.0,/t/dd00134,Car passing by
309.0,/m/0ltv,"Race car, auto racing"
310.0,/m/07r04,Truck
311.0,/m/0gvgw0,Air brake
312.0,/m/05x_td,"Air horn, truck horn"
313.0,/m/02rhddq,Reversing beeps
314.0,/m/03cl9h,"Ice cream truck, ice cream van"
315.0,/m/01bjv,Bus
316.0,/m/03j1ly,Emergency vehicle
317.0,/m/04qvtq,Police car (siren)
318.0,/m/012n7d,Ambulance (siren)
319.0,/m/012ndj,"Fire engine, fire truck (siren)"
320.0,/m/04_sv,Motorcycle
321.0,/m/0btp2,"Traffic noise, roadway noise"
322.0,/m/06d_3,Rail transport
323.0,/m/07jdr,Train
324.0,/m/04zmvq,Train whistle
325.0,/m/0284vy3,Train horn
326.0,/m/01g50p,"Railroad car, train wagon"
327.0,/t/dd00048,Train wheels squealing
328.0,/m/0195fx,"Subway, metro, underground"
329.0,/m/0k5j,Aircraft
330.0,/m/014yck,Aircraft engine
331.0,/m/04229,Jet engine
332.0,/m/02l6bg,"Propeller, airscrew"
333.0,/m/09ct_,Helicopter
334.0,/m/0cmf2,"Fixed-wing aircraft, airplane"
335.0,/m/0199g,Bicycle
336.0,/m/06_fw,Skateboard
337.0,/m/02mk9,Engine
338.0,/t/dd00065,Light engine (high frequency)
339.0,/m/08j51y,"Dental drill, dentist's drill"
340.0,/m/01yg9g,Lawn mower
341.0,/m/01j4z9,Chainsaw
342.0,/t/dd00066,Medium engine (mid frequency)
343.0,/t/dd00067,Heavy engine (low frequency)
344.0,/m/01h82_,Engine knocking
345.0,/t/dd00130,Engine starting
346.0,/m/07pb8fc,Idling
347.0,/m/07q2z82,"Accelerating, revving, vroom"
348.0,/m/02dgv,Door
349.0,/m/03wwcy,Doorbell
350.0,/m/07r67yg,Ding-dong
351.0,/m/02y_763,Sliding door
352.0,/m/07rjzl8,Slam
353.0,/m/07r4wb8,Knock
354.0,/m/07qcpgn,Tap
355.0,/m/07q6cd_,Squeak
356.0,/m/0642b4,Cupboard open or close
357.0,/m/0fqfqc,Drawer open or close
358.0,/m/04brg2,"Dishes, pots, and pans"
359.0,/m/023pjk,"Cutlery, silverware"
360.0,/m/07pn_8q,Chopping (food)
361.0,/m/0dxrf,Frying (food)
362.0,/m/0fx9l,Microwave oven
363.0,/m/02pjr4,Blender
364.0,/m/02jz0l,"Water tap, faucet"
365.0,/m/0130jx,Sink (filling or washing)
366.0,/m/03dnzn,Bathtub (filling or washing)
367.0,/m/03wvsk,Hair dryer
368.0,/m/01jt3m,Toilet flush
369.0,/m/012xff,Toothbrush
370.0,/m/04fgwm,Electric toothbrush
371.0,/m/0d31p,Vacuum cleaner
372.0,/m/01s0vc,Zipper (clothing)
373.0,/m/03v3yw,Keys jangling
374.0,/m/0242l,Coin (dropping)
375.0,/m/01lsmm,Scissors
376.0,/m/02g901,"Electric shaver, electric razor"
377.0,/m/05rj2,Shuffling cards
378.0,/m/0316dw,Typing
379.0,/m/0c2wf,Typewriter
380.0,/m/01m2v,Computer keyboard
381.0,/m/081rb,Writing
382.0,/m/07pp_mv,Alarm
383.0,/m/07cx4,Telephone
384.0,/m/07pp8cl,Telephone bell ringing
385.0,/m/01hnzm,Ringtone
386.0,/m/02c8p,"Telephone dialing, DTMF"
387.0,/m/015jpf,Dial tone
388.0,/m/01z47d,Busy signal
389.0,/m/046dlr,Alarm clock
390.0,/m/03kmc9,Siren
391.0,/m/0dgbq,Civil defense siren
392.0,/m/030rvx,Buzzer
393.0,/m/01y3hg,"Smoke detector, smoke alarm"
394.0,/m/0c3f7m,Fire alarm
395.0,/m/04fq5q,Foghorn
396.0,/m/0l156k,Whistle
397.0,/m/06hck5,Steam whistle
398.0,/t/dd00077,Mechanisms
399.0,/m/02bm9n,"Ratchet, pawl"
400.0,/m/01x3z,Clock
401.0,/m/07qjznt,Tick
402.0,/m/07qjznl,Tick-tock
403.0,/m/0l7xg,Gears
404.0,/m/05zc1,Pulleys
405.0,/m/0llzx,Sewing machine
406.0,/m/02x984l,Mechanical fan
407.0,/m/025wky1,Air conditioning
408.0,/m/024dl,Cash register
409.0,/m/01m4t,Printer
410.0,/m/0dv5r,Camera
411.0,/m/07bjf,Single-lens reflex camera
412.0,/m/07k1x,Tools
413.0,/m/03l9g,Hammer
414.0,/m/03p19w,Jackhammer
415.0,/m/01b82r,Sawing
416.0,/m/02p01q,Filing (rasp)
417.0,/m/023vsd,Sanding
418.0,/m/0_ksk,Power tool
419.0,/m/01d380,Drill
420.0,/m/014zdl,Explosion
421.0,/m/032s66,"Gunshot, gunfire"
422.0,/m/04zjc,Machine gun
423.0,/m/02z32qm,Fusillade
424.0,/m/0_1c,Artillery fire
425.0,/m/073cg4,Cap gun
426.0,/m/0g6b5,Fireworks
427.0,/g/122z_qxw,Firecracker
428.0,/m/07qsvvw,"Burst, pop"
429.0,/m/07pxg6y,Eruption
430.0,/m/07qqyl4,Boom
431.0,/m/083vt,Wood
432.0,/m/07pczhz,Chop
433.0,/m/07pl1bw,Splinter
434.0,/m/07qs1cx,Crack
435.0,/m/039jq,Glass
436.0,/m/07q7njn,"Chink, clink"
437.0,/m/07rn7sz,Shatter
438.0,/m/04k94,Liquid
439.0,/m/07rrlb6,"Splash, splatter"
440.0,/m/07p6mqd,Slosh
441.0,/m/07qlwh6,Squish
442.0,/m/07r5v4s,Drip
443.0,/m/07prgkl,Pour
444.0,/m/07pqc89,"Trickle, dribble"
445.0,/t/dd00088,Gush
446.0,/m/07p7b8y,Fill (with liquid)
447.0,/m/07qlf79,Spray
448.0,/m/07ptzwd,Pump (liquid)
449.0,/m/07ptfmf,Stir
450.0,/m/0dv3j,Boiling
451.0,/m/0790c,Sonar
452.0,/m/0dl83,Arrow
453.0,/m/07rqsjt,"Whoosh, swoosh, swish"
454.0,/m/07qnq_y,"Thump, thud"
455.0,/m/07rrh0c,Thunk
456.0,/m/0b_fwt,Electronic tuner
457.0,/m/02rr_,Effects unit
458.0,/m/07m2kt,Chorus effect
459.0,/m/018w8,Basketball bounce
460.0,/m/07pws3f,Bang
461.0,/m/07ryjzk,"Slap, smack"
462.0,/m/07rdhzs,"Whack, thwack"
463.0,/m/07pjjrj,"Smash, crash"
464.0,/m/07pc8lb,Breaking
465.0,/m/07pqn27,Bouncing
466.0,/m/07rbp7_,Whip
467.0,/m/07pyf11,Flap
468.0,/m/07qb_dv,Scratch
469.0,/m/07qv4k0,Scrape
470.0,/m/07pdjhy,Rub
471.0,/m/07s8j8t,Roll
472.0,/m/07plct2,Crushing
473.0,/t/dd00112,"Crumpling, crinkling"
474.0,/m/07qcx4z,Tearing
475.0,/m/02fs_r,"Beep, bleep"
476.0,/m/07qwdck,Ping
477.0,/m/07phxs1,Ding
478.0,/m/07rv4dm,Clang
479.0,/m/07s02z0,Squeal
480.0,/m/07qh7jl,Creak
481.0,/m/07qwyj0,Rustle
482.0,/m/07s34ls,Whir
483.0,/m/07qmpdm,Clatter
484.0,/m/07p9k1k,Sizzle
485.0,/m/07qc9xj,Clicking
486.0,/m/07rwm0c,Clickety-clack
487.0,/m/07phhsh,Rumble
488.0,/m/07qyrcz,Plop
489.0,/m/07qfgpx,"Jingle, tinkle"
490.0,/m/07rcgpl,Hum
491.0,/m/07p78v5,Zing
492.0,/t/dd00121,Boing
493.0,/m/07s12q4,Crunch
494.0,/m/028v0c,Silence
495.0,/m/01v_m0,Sine wave
496.0,/m/0b9m1,Harmonic
497.0,/m/0hdsk,Chirp tone
498.0,/m/0c1dj,Sound effect
499.0,/m/07pt_g0,Pulse
500.0,/t/dd00125,"Inside, small room"
501.0,/t/dd00126,"Inside, large room or hall"
502.0,/t/dd00127,"Inside, public space"
503.0,/t/dd00128,"Outside, urban or manmade"
504.0,/t/dd00129,"Outside, rural or natural"
505.0,/m/01b9nn,Reverberation
506.0,/m/01jnbd,Echo
507.0,/m/096m7z,Noise
508.0,/m/06_y0by,Environmental noise
509.0,/m/07rgkc5,Static
510.0,/m/06xkwv,Mains hum
511.0,/m/0g12c5,Distortion
512.0,/m/08p9q4,Sidetone
513.0,/m/07szfh9,Cacophony
514.0,/m/0chx_,White noise
515.0,/m/0cj0r,Pink noise
516.0,/m/07p_0gm,Throbbing
517.0,/m/01jwx6,Vibration
518.0,/m/07c52,Television
519.0,/m/06bz3,Radio
520.0,/m/07hvw1,Field recording
,,queen not present
,,queen present and rejected
,,queen present and newly accepted
,,queen present or original queen
